A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),T(730),U(760),V(810),W(860),K(900),L(940),ph,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
2750.52,793.13,2386.51,712.39,925.92,1858.97,443.41,462.48,1397.82,241.32,328.47,69.89,81.8,72.53,244.54,291.72,109.43,50.21,7.08,0.14,0.42,36.26,246.2,3.5,3.8,24.33,4.79,5.97,0.75,0.65,0.83
2673.32,908.72,2544.75,691.14,883.3,1731.7,445.02,451.43,1493.82,223.03,386.98,70.74,90.13,79.78,271.68,361.55,113.4,48.39,5.78,0.07,0.77,78.83,147.84,5.04,2.06,20.02,19.44,56.1,2.14,0.74,0.56
1724.39,872.85,2037.19,585.8,896.71,1132,391.81,400.72,1019.34,204.74,258.67,58.88,73.47,58.83,163.6,236.53,83.92,42.91,8.48,0.18,0.12,5.31,106.44,74.5,11.25,3.94,15.45,4.11,2.39,0.62,0.55
2008.11,998.38,2296.87,647.11,899.9,1152.22,405.74,414.98,1020.88,212.88,254.77,60.99,72.71,59.12,165.23,241.99,85.09,43.34,7.98,0.54,0.48,5.94,111.84,41.75,15.25,14.2,10.27,10.01,1.93,1.29,0.53
2177.17,956.54,2303.91,633.85,884.08,1203.88,392.35,406.74,808.96,213.22,236.09,60.57,75.74,61.25,162.74,227.52,90.72,42.91,7.61,1.31,1.17,14.69,804,60.5,19.25,24.45,12.75,4.01,6.37,0.61,0.42
1955.11,1094.05,2343.72,747.5,1028.54,1221.1,415.46,432.31,1208.99,229.37,324.37,71.16,87.86,73.33,173.07,241.03,86.18,48.39,8.54,0.25,0.54,5.63,590.4,41,23.75,9.47,13.7,5.63,1.77,1.97,0.3
1850.16,1019.32,2185.45,614.45,865.14,1071.36,326.78,329.41,943.59,177.09,234.04,55.91,71.2,57.22,162.74,241.03,83.92,42.91,5.31,0.02,0.35,2.45,714.56,2.3,1.9,28.97,0.31,13.07,0.94,0.61,0.58
1487.59,629.72,1793.37,480.47,801.2,1129.76,367.09,388.16,978.16,203.4,243.28,58.88,79.53,64.47,169.63,227.52,87.32,40.17,5.04,0.07,0.24,37.14,98.56,2.13,0.74,24.83,0.17,7.6,1.48,0.54,0.38
1222.16,438.42,1596.31,388.99,674.9,1069.12,337.53,365.06,840.77,194.93,236.09,56.76,71.95,58.83,167.91,227.52,91.29,37.43,4.73,0.05,0.71,55.36,98.56,3.89,1.01,8.28,19.58,18.75,0.44,0.68,0.09
946.33,191,1302.73,238.39,540.71,1095.32,282.17,315.35,890.9,171.73,231.99,49.13,63.62,52.38,165.32,209.49,87.32,32.87,6.2,0.11,0.75,55.36,271.04,4.95,2.5,9.93,2.55,25.8,1.96,0.51,0.5
1238.64,538,1578.11,397.18,708.11,1041.41,358.23,362.22,935.12,177.98,258.2,53.12,70.19,58.02,168.77,254.55,86.88,37.12,7.97,0.4,0.94,27.15,381.92,6.31,1.9,41.39,0.91,9.2,0.9,0.76,0.46
1269.87,579.9,1429.12,380.68,667.8,905.15,340.21,362.05,800.76,191.81,229.93,54.64,74.98,58.83,154.13,230.89,85.05,39.26,8.53,0.19,0.42,8.75,450,20.5,11.8,20.51,3.07,2.29,1.47,1.48,0.43
2732.3,921.67,2735.83,720.7,962.23,1695.01,442.33,455.45,1431.77,237.75,362.35,71.58,87.86,74.14,245.4,321,115,51.13,8.09,0.17,0.51,36.26,470.4,7.8,4.3,24.45,2.22,2.34,1.24,1.23,0.6
2909.25,922.67,2525.84,685.59,873.03,1787.1,395.57,401.72,1219.87,212.32,331.55,63.53,78.77,70.11,237.65,299.6,108.3,47.47,8.46,0.25,0.63,15,586.8,43.5,3,18.14,3.2,3.51,1.97,0.64,0.68
3283.97,1234.54,3233.43,872.24,1113,1743.68,486.4,491.61,1449.33,254.7,337.71,76.67,89.38,74.95,243.68,324.38,119.64,55.69,8.55,1.17,0.96,6.25,777,26.3,16.8,30.76,5.14,5.28,2.92,1.02,0.77
1867.51,861.88,2111.83,571.02,858.83,1142.49,380.52,395.19,999.78,203.85,238.14,57.61,71.2,56.41,165.32,230.89,83.92,41.08,6.93,0.09,0.63,30.95,334.8,8.5,2.8,9.47,10.47,10.1,1.38,0.67,0.48
2426.98,699.47,2362.63,608.9,833.57,1680.79,397.18,426.33,1359.19,227.94,328.47,66.92,82.56,70.92,241.1,299.6,113.97,48.39,6.94,0.2,0.88,63.94,295.68,10.16,4.21,14.07,40.54,24.8,2.7,1.24,0.7
668.76,924.23,2379.11,696.17,1183.12,1323.28,284.12,301.19,1167.19,165.18,256.28,59.12,73.23,59.76,157.23,196.18,76.61,38.23,7.7,0.25,1.21,63.06,751.52,8.27,3.36,21.52,6.81,15.23,3.28,2.79,0.94
1048.68,544.08,1526.65,360.35,641.12,899.91,250.46,254.09,766.81,125.79,201.19,40.24,64.38,50.77,137.77,194.85,66.34,29.21,7.95,0.5,0.4,61.49,406.56,7.73,5.18,22.35,18.74,25.87,0.37,1.06,1.06
1282.88,665.89,1796.12,492.23,774.23,342.11,342.36,357.11,894.23,178.23,198.11,50.28,65.12,50.77,145.53,188.09,77.68,37.32,6.85,0.11,0.64,32.76,109.53,5.9,3.1,26.49,10.32,21.49,2.6,1.67,0.97
457.99,635.7,1987.12,474.33,820.77,1094.57,314.23,339.23,929.76,211.88,219.23,45.76,70.71,58.78,158.44,220.18,60.67,38.12,6.29,0.06,0.21,56.06,158.21,4.2,1.5,11.59,26.45,17.8,1.19,1.03,0.73
1351.4,615.77,1720.72,460.14,774.36,1087.83,361.71,374.64,983.39,193.39,245.33,57.18,76.5,62.86,169.63,233.15,84.48,39.26,7.49,0.11,0.61,37.49,133.87,4,1.2,21.52,7.75,15.7,0.72,1.64,0.89
232.18,409.12,1480.19,414.22,870.99,1087.18,296.28,301.19,1072.23,150.33,221.19,50.19,79.12,61.18,148.19,189.23,70.19,32.29,5.35,0.04,1,19.97,36.51,1.5,0.7,14.07,40.68,34.02,1.32,0.53,1.21
616.78,356.23,1220.19,354.23,778.87,985.12,260.29,305.27,1143.23,173.23,266.87,60.29,73.47,59.87,156.34,198.76,76.54,35.67,6.16,0.1,0.98,27.86,462.46,6.7,3.3,24,120.77,26.55,0.59,1.2,0.16
292.12,201.19,823.11,251.11,694.23,894.12,222.24,267.22,1048.23,162.12,237.22,51.1,72.27,57.22,147.23,186.17,70.11,32.87,4.98,0.18,0.77,20.15,133.87,3.5,0.8,18.21,61.7,16.28,0.94,0.6,0.77
935.92,291.94,958.39,194.04,516.24,826.54,262.54,293.26,818.32,166.83,238.14,49.98,71.95,57.22,154.99,223.01,81.08,33.78,6.08,0.26,1.02,22.6,438.12,10.7,2,11.59,55.84,52.61,0.43,0.96,0.45
832.7,394.57,1123.59,313.3,631.28,885.44,338.06,358.54,849.93,188.24,238.14,53.79,74.98,62.05,162.74,236.53,83.92,39.26,4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
1131.95,499.2,1488.83,398.23,735.68,1038.42,346.13,367.07,952.95,190.47,238.14,53.79,71.2,56.41,161.88,232.02,83.92,38.94,5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
128.87,340.29,1320.29,420.19,887.18,1094.23,291.19,321.88,1021.12,166.18,240.9,50.9,74.12,60.19,147.18,190.18,70.12,31.12,5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
1396.51,688.51,1740.62,494.33,810.67,1075.85,369.24,381.64,990.41,197.16,257.65,57.61,73.47,58.83,163.6,236.53,82.78,41.08,6.72,0.09,1.05,26.1,444,6.14,2.32,11.21,3.08,14.1,2.23,0.84,1.22
1393.04,571.93,1698.82,425.03,764.89,1108.8,341.29,362.55,959.98,191.36,257.65,55.49,76.5,60.44,167.91,225.26,85.05,38.34,6.04,0.17,0.33,81.99,372,5.98,0.5,12.93,47.74,37.63,3.28,6.79,1.13
729.48,334.79,1183.3,267.95,596.76,923.87,287.54,316.36,857.49,172.18,236.09,49.56,66.65,52.38,154.99,219.63,80.51,35.61,5.35,0.07,0.87,80.59,132,3.15,2.49,5.17,14.96,44.53,1.22,1.21,0.98
2235.28,583.89,2020.27,583.95,805.15,1674.8,354.72,374.72,1240.94,200.73,323.34,57.18,78.77,69.3,239.38,302.98,107.73,45.65,8.28,0.45,0.6,10,509.4,42.5,9,9.47,12.86,19.41,2.95,0.93,0.15
935.28,466.31,1353.23,410.98,730.22,1006.98,260.64,287.74,979.11,194.32,253.33,55.98,71.98,58.02,159.2,236.22,81.08,40.19,7.78,0.46,0.87,58.45,392.4,8.5,3,4.73,3.86,14.5,1.2,2.49,0.38
